artist_name,start_date,end_date,stage,stage_latitude,stage_longitude,day
Vierratale,9/28/23 9.00 PM,9/28/23 9.45 PM,Boss Stage,-6.217307514,106.8044678,2
"Creve, Ouverte!",9/28/23 9.10 PM,9/28/23 9.50 PM,Alternative Stage,-6.220093561,106.7994224,2
Kadapat,9/28/23 9.10 PM,9/28/23 9.55 PM,Yes No Klub,-6.216075586,106.8018606,2
The Sigit,9/28/23 9.15 PM,9/28/23 10.00 PM,Hingar Bingar,-6.219256549,106.7995374,2
"Host: Ebel Cobra & Gerral Saprilla, Afif Xavi, Frimawan",9/28/23 9.30 PM,9/28/23 10.00 PM,StandupIndo,-6.220444814,106.8046108,2
Inul Daratista,9/28/23 9.30 PM,9/28/23 10.15 PM,Pestapora IM3,-6.217197051,106.7994883,2
Rub of Rub,9/28/23 9.30 PM,9/28/23 10.15 PM,Klab Klub,-6.217429041,106.8025604,2
Orkes Pensil Alis,9/28/23 9.45 PM,9/28/23 10.30 PM,Riang Gembira,-6.217556546,106.8010231,2
Banda Neira dibawakan oleh Ananda Badudu,9/28/23 10.00 PM,9/28/23 10.45 PM,Gegap Gempita,-6.219200841,106.8004699,2
Tarrkam,9/28/23 10.05 PM,9/28/23 10.45 PM,Alternative Stage,-6.220093561,106.7994224,2
Xin Lie,9/28/23 10.10 PM,9/28/23 10.55 PM,Yes No Klub,-6.216075586,106.8018606,2
Duo Maia,9/28/23 10.15 PM,9/28/23 11.00 PM,Boss Stage,-6.217307514,106.8044678,2
For Revenge,9/28/23 10.30 PM,9/28/23 11.15 PM,Hingar Bingar,-6.219256549,106.7995374,2
Rumah Sakit,9/28/23 10.35 PM,9/28/23 11.20 PM,Klab Klub,-6.217429041,106.8025604,2
Last Child,9/28/23 10.45 PM,9/28/23 11.30 PM,Pestapora IM3,-6.217197051,106.7994883,2
Libya Montes,9/28/23 11.00 PM,9/28/23 12.00 AM,Yes No Klub,-6.216075586,106.8018606,2
After Party: Dekadenz,9/28/23 11.00 PM,9/28/23 12.05 AM,Alternative Stage,-6.220093561,106.7994224,2
Back In The Days: Anton Wirjono Hogi Wirjono,9/28/23 11.00 PM,9/28/23 1.00 AM,Double Deck,-6.220739096,106.8026153,2
Goodnight Electric (Love and Turbo Action Set),9/28/23 11.00 PM,9/28/23 11.45 PM,Riang Gembira,-6.217556546,106.8010231,2
Project Pop,9/28/23 11.15 PM,9/29/23 12.00 AM,Gegap Gempita,-6.219200841,106.8004699,2
Guyon Waton,9/28/23 11.30 PM,9/29/23 12.15 AM,Boss Stage,-6.217307514,106.8044678,2
Morfem,9/28/23 11.40 PM,9/29/23 12.25 AM,Klab Klub,-6.217429041,106.8025604,2
Smash x TBA,9/28/23 11.45 PM,9/29/23 12.45 AM,Hingar Bingar,-6.219256549,106.7995374,2
